CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
33192;10841.0;23133.0;23800.0;60.0;10.0;26.0;12.0;11.0;9.0;5.0;;5.0;20.0;72.2;65.2;2.6;4.4;32.8;10.0;4.2;1.5;1.5;1.2;-19.2;12630.0;42820.0;3.4
33193;761.0;1513.0;20480.0;;;;;;;;;;;;;;;;;;;;;;;;
33194;298.0;698.0;21590.0;;;;;;;;;;;;;;;;;;;;;;;;
33195;534.0;1100.0;17680.0;;;;;;;;;;;;;;;;;;;;;;;;
33196;69.0;175.0;20450.0;;;;;;;;;;;;;;;;;;;;;;;;
33197;171.0;455.0;19770.0;;;;;;;;;;;;;;;;;;;;;;;;
33198;710.0;1635.0;18320.0;;;;;;;;;;;;;;;;;;;;;;;;
33199;9974.0;21703.0;23160.0;59.0;9.0;;13.0;12.0;11.0;5.0;;5.0;18.0;64.3;54.3;3.6;6.4;39.9;10.6;3.3;1.3;1.3;0.7;-18.1;12950.0;40300.0;3.1
33200;5011.0;11157.0;23710.0;63.0;9.0;;11.0;12.0;;;;5.0;17.0;79.8;72.9;3.1;3.8;26.5;7.4;4.2;1.6;1.5;1.1;-17.9;12950.0;39690.0;3.1
33201;341.0;826.0;21490.0;;;;;;;;;;;;;;;;;;;;;;;;
33202;587.0;1467.0;20170.0;;;;;;;;;;;;;;;;;;;;;;;;
33203;1811.0;3866.0;21350.0;51.0;12.0;;;;;;;;24.0;56.4;46.7;4.0;5.7;44.0;10.4;4.4;1.6;1.7;1.1;-15.2;11840.0;35650.0;3.0
33204;237.0;550.0;20360.0;;;;;;;;;;;;;;;;;;;;;;;;
33205;576.0;1439.0;21920.0;;;;;;;;;;;;;;;;;;;;;;;;
33206;206.0;502.0;21310.0;;;;;;;;;;;;;;;;;;;;;;;;
33207;2188.0;6018.0;22410.0;56.0;7.0;;;;;;;5.0;;80.6;74.4;3.3;2.9;23.5;6.4;4.1;2.4;1.0;0.7;-14.6;14090.0;33750.0;2.4
33208;465.0;950.0;18740.0;;;;;;;;;;;;;;;;;;;;;;;;
33209;116.0;290.0;20980.0;;;;;;;;;;;;;;;;;;;;;;;;
33210;90.0;219.0;21350.0;;;;;;;;;;;;;;;;;;;;;;;;
33211;231.0;574.0;22030.0;;;;;;;;;;;;;;;;;;;;;;;;
33212;47.0;126.0;19330.0;;;;;;;;;;;;;;;;;;;;;;;;
33213;1772.0;4502.0;26420.0;66.0;6.0;;;;;;;;;80.0;72.1;2.6;5.3;24.5;13.5;2.7;1.5;0.8;0.4;-20.7;15000.0;45720.0;3.0
33214;2755.0;5659.0;23260.0;57.0;11.0;;;13.0;;;;7.0;23.0;63.6;52.8;4.0;6.8;38.4;13.3;3.1;1.2;1.2;0.7;-18.4;12050.0;42080.0;3.5
33215;80.0;196.0;20100.0;;;;;;;;;;;;;;;;;;;;;;;;
33216;66.0;159.0;19380.0;;;;;;;;;;;;;;;;;;;;;;;;
33218;652.0;1660.0;19640.0;;;;;;;;;;;;;;;;;;;;;;;;
33219;944.0;2484.0;22980.0;55.0;9.0;;;;;;;;;78.4;71.3;3.6;3.5;26.4;5.9;3.8;2.3;1.1;0.4;-14.5;13440.0;34520.0;2.6
33220;486.0;1235.0;19730.0;;;;;;;;;;;;;;;;;;;;;;;;
33221;457.0;1096.0;17860.0;;;;;;;;;;;;;;;;;;;;;;;;
33222;257.0;637.0;22460.0;;;;;;;;;;;;;;;;;;;;;;;;
33223;82.0;201.0;19690.0;;;;;;;;;;;;;;;;;;;;;;;;
33224;;;;;;;;;;;;;;;;;;;;;;;;;;;
33225;896.0;2257.0;21390.0;44.0;10.0;;;;;;;;;75.7;65.1;4.1;6.5;26.8;5.6;5.1;2.4;1.7;1.0;-13.2;12710.0;33580.0;2.6
